iteration,seed_1,seed_7,seed_19,seed_42,seed_123,seed_233
0,1.4000000000000001,1.4000000000000001,3.9000000000000004,1.4000000000000001,1.4000000000000001,1.4000000000000001
1,1.4000000000000001,1.4000000000000001,3.9000000000000004,2.7,1.4000000000000001,2.3000000000000003
2,3.1,1.4000000000000001,3.9000000000000004,2.7,1.4000000000000001,2.3000000000000003
3,4.2,1.4000000000000001,3.9000000000000004,2.7,2.9000000000000004,2.3000000000000003
4,4.2,2.6,3.9000000000000004,2.7,2.9000000000000004,2.8000000000000003
5,4.2,2.6,3.9000000000000004,4.800000000000001,2.9000000000000004,2.8000000000000003
6,4.2,3.1,4.4,4.800000000000001,2.9000000000000004,2.8000000000000003
7,4.2,3.1,4.4,4.800000000000001,2.9000000000000004,2.8000000000000003
8,4.2,3.1,4.4,4.800000000000001,2.9000000000000004,2.8000000000000003
9,4.2,3.1,4.5,4.800000000000001,3.2,2.8000000000000003
10,4.2,3.8000000000000003,4.5,4.800000000000001,3.2,2.8000000000000003
11,4.2,3.8000000000000003,4.5,4.800000000000001,3.2,2.8000000000000003
12,4.2,3.8000000000000003,4.5,4.800000000000001,3.2,2.8000000000000003
13,4.2,3.8000000000000003,4.5,4.800000000000001,3.2,3.7
14,4.2,4.4,4.5,4.800000000000001,3.2,3.7
15,4.2,4.4,4.5,4.800000000000001,4.4,3.7
16,4.2,4.4,4.5,4.800000000000001,4.4,4.1000000000000005
17,4.2,4.4,4.5,4.800000000000001,4.4,4.1000000000000005
18,4.2,4.4,4.5,5.1000000000000005,4.4,4.1000000000000005
19,4.2,4.4,4.5,5.1000000000000005,4.4,4.5
20,4.2,4.4,4.5,5.1000000000000005,4.4,4.5
21,4.2,4.4,4.5,5.1000000000000005,4.4,5.0
22,4.9,4.4,4.5,5.800000000000001,4.4,5.0
23,4.9,4.4,4.5,5.800000000000001,4.4,5.0
24,4.9,4.4,4.5,5.800000000000001,4.4,5.0
25,4.9,4.4,5.9,5.800000000000001,4.4,5.0
26,4.9,4.4,5.9,5.800000000000001,4.6000000000000005,5.0
27,5.4,4.4,5.9,5.800000000000001,4.6000000000000005,5.0
28,5.4,4.4,5.9,5.800000000000001,4.6000000000000005,5.0
29,5.4,4.4,5.9,5.800000000000001,4.7,5.2
30,5.4,4.4,5.9,5.800000000000001,4.7,5.2
31,5.6000000000000005,4.4,5.9,5.800000000000001,5.0,5.2
32,5.6000000000000005,4.4,5.9,5.800000000000001,5.0,5.2
33,5.6000000000000005,4.4,5.9,5.800000000000001,5.0,5.4
34,5.6000000000000005,4.4,5.9,5.800000000000001,5.0,5.4
35,5.6000000000000005,4.4,5.9,5.800000000000001,5.0,5.4
36,5.6000000000000005,4.4,5.9,5.800000000000001,5.1000000000000005,5.4
37,5.6000000000000005,4.4,5.9,5.800000000000001,5.1000000000000005,5.4
38,5.6000000000000005,4.4,5.9,5.800000000000001,5.1000000000000005,5.4
39,5.6000000000000005,4.4,5.9,5.800000000000001,5.1000000000000005,5.4
40,5.6000000000000005,4.4,5.9,5.800000000000001,5.1000000000000005,5.5
41,5.6000000000000005,4.4,5.9,5.800000000000001,5.1000000000000005,5.5
42,5.6000000000000005,4.5,5.9,5.800000000000001,5.1000000000000005,5.5
43,5.6000000000000005,4.5,5.9,5.800000000000001,5.1000000000000005,5.5
44,5.6000000000000005,4.5,5.9,5.800000000000001,5.1000000000000005,5.5
45,5.6000000000000005,4.5,5.9,5.800000000000001,5.2,5.5
46,5.6000000000000005,4.5,5.9,5.800000000000001,5.300000000000001,5.5
47,5.6000000000000005,4.5,5.9,5.800000000000001,5.300000000000001,5.5
48,5.6000000000000005,4.5,5.9,5.800000000000001,5.300000000000001,5.800000000000001
49,5.6000000000000005,4.5,5.9,5.800000000000001,5.5,5.800000000000001
50,5.6000000000000005,4.7,5.9,5.800000000000001,5.5,5.800000000000001
51,5.9,4.7,5.9,5.800000000000001,5.5,5.800000000000001
52,5.9,4.7,5.9,5.800000000000001,5.5,5.800000000000001
53,5.9,4.7,5.9,5.800000000000001,5.5,5.800000000000001
54,5.9,4.7,5.9,5.800000000000001,5.7,5.800000000000001
55,5.9,5.2,5.9,5.800000000000001,5.7,5.800000000000001
56,5.9,5.2,5.9,5.800000000000001,5.7,5.800000000000001
57,5.9,5.300000000000001,5.9,5.800000000000001,5.800000000000001,6.2
58,5.9,5.300000000000001,5.9,5.800000000000001,5.800000000000001,6.2
59,5.9,5.300000000000001,6.0,5.800000000000001,5.800000000000001,6.2
60,5.9,5.300000000000001,6.0,5.800000000000001,5.800000000000001,6.2
61,5.9,5.300000000000001,6.0,5.9,6.0,6.300000000000001
62,6.1000000000000005,5.300000000000001,6.0,5.9,6.0,6.300000000000001
63,6.1000000000000005,6.2,6.0,5.9,6.0,6.300000000000001
64,6.1000000000000005,6.2,6.0,5.9,6.0,6.300000000000001
65,6.1000000000000005,6.2,6.0,5.9,6.0,6.300000000000001
66,6.1000000000000005,6.4,6.0,5.9,6.0,6.300000000000001
67,6.1000000000000005,6.4,6.0,5.9,6.0,6.5
68,6.1000000000000005,6.4,6.0,5.9,6.0,6.5
69,6.1000000000000005,6.4,6.0,5.9,6.0,6.5
70,6.2,6.4,6.0,5.9,6.0,6.5
71,6.2,6.4,6.0,5.9,6.0,6.5
72,6.2,6.4,6.0,5.9,6.0,6.5
73,6.2,6.4,6.0,5.9,6.0,6.6000000000000005
74,6.2,6.4,6.0,5.9,6.0,6.7
75,6.2,6.4,6.0,5.9,6.0,6.7
76,6.2,6.4,6.0,5.9,6.1000000000000005,6.7
77,6.2,6.4,6.0,5.9,6.1000000000000005,6.7
78,6.2,6.4,6.0,6.0,6.1000000000000005,6.7
79,6.2,6.4,6.0,6.0,6.1000000000000005,6.7
80,6.2,6.4,6.0,6.2,6.1000000000000005,6.7
81,6.2,6.5,6.0,6.2,6.1000000000000005,6.7
82,6.2,6.5,6.0,6.2,6.1000000000000005,6.7
83,6.2,6.5,6.0,6.300000000000001,6.1000000000000005,6.7
84,6.300000000000001,6.5,6.0,6.300000000000001,6.1000000000000005,6.7
85,6.300000000000001,6.5,6.0,6.300000000000001,6.1000000000000005,6.7
86,6.300000000000001,6.5,6.1000000000000005,6.300000000000001,6.1000000000000005,6.7
87,6.300000000000001,6.5,6.1000000000000005,6.300000000000001,6.1000000000000005,6.7
88,6.300000000000001,6.6000000000000005,6.1000000000000005,6.300000000000001,6.1000000000000005,6.800000000000001
89,6.300000000000001,6.6000000000000005,6.1000000000000005,6.300000000000001,6.1000000000000005,6.800000000000001
90,6.300000000000001,6.6000000000000005,6.1000000000000005,6.4,6.1000000000000005,6.9
91,6.300000000000001,6.6000000000000005,6.1000000000000005,6.4,6.1000000000000005,6.9
92,6.300000000000001,6.6000000000000005,6.2,6.5,6.1000000000000005,6.9
93,6.300000000000001,6.6000000000000005,6.2,6.5,6.1000000000000005,7.0
94,6.300000000000001,6.6000000000000005,6.2,6.5,6.1000000000000005,7.1000000000000005
95,6.300000000000001,6.6000000000000005,6.2,6.5,6.1000000000000005,7.1000000000000005
96,6.300000000000001,6.7,6.2,6.5,6.1000000000000005,7.1000000000000005
97,6.300000000000001,6.7,6.2,6.5,6.1000000000000005,7.1000000000000005
98,6.300000000000001,6.7,6.2,6.5,6.1000000000000005,7.1000000000000005
99,6.300000000000001,6.7,6.2,6.5,6.1000000000000005,7.1000000000000005
100,6.4,6.7,6.300000000000001,6.5,6.1000000000000005,7.1000000000000005
101,6.5,6.9,6.300000000000001,6.5,6.1000000000000005,7.1000000000000005
102,6.5,6.9,6.300000000000001,6.5,6.1000000000000005,7.1000000000000005
103,6.5,6.9,6.4,6.5,6.1000000000000005,7.1000000000000005
104,6.5,7.0,6.4,6.5,6.1000000000000005,7.1000000000000005
105,6.6000000000000005,7.1000000000000005,6.4,6.5,6.1000000000000005,7.1000000000000005
106,6.6000000000000005,7.300000000000001,6.4,6.5,6.1000000000000005,7.1000000000000005
107,6.6000000000000005,7.300000000000001,6.4,6.5,6.1000000000000005,7.1000000000000005
108,6.6000000000000005,7.4,6.4,6.5,6.2,7.1000000000000005
109,6.6000000000000005,7.4,6.5,6.6000000000000005,6.2,7.1000000000000005
110,6.7,7.4,6.5,6.6000000000000005,6.2,7.1000000000000005
111,6.7,7.4,6.5,6.6000000000000005,6.2,7.1000000000000005
112,6.7,7.4,6.5,6.7,6.2,7.1000000000000005
113,6.800000000000001,7.4,6.6000000000000005,6.7,6.2,7.1000000000000005
114,6.800000000000001,7.5,6.6000000000000005,6.7,6.2,7.1000000000000005
115,7.1000000000000005,7.5,6.6000000000000005,6.7,6.2,7.1000000000000005
116,7.1000000000000005,7.5,6.7,6.7,6.2,7.1000000000000005
117,7.1000000000000005,7.5,6.7,6.7,6.2,7.1000000000000005
118,7.1000000000000005,7.5,6.800000000000001,6.7,6.2,7.1000000000000005
119,7.1000000000000005,7.5,6.800000000000001,6.7,6.2,7.1000000000000005
120,7.2,7.5,6.800000000000001,6.7,6.2,7.1000000000000005
121,7.2,7.6000000000000005,6.800000000000001,6.7,6.2,7.1000000000000005
122,7.2,7.6000000000000005,6.800000000000001,6.7,6.2,7.1000000000000005
123,7.2,7.6000000000000005,6.800000000000001,6.7,6.2,7.1000000000000005
124,7.2,7.6000000000000005,6.9,6.7,6.2,7.1000000000000005
125,7.2,7.6000000000000005,7.0,6.7,6.2,7.1000000000000005
126,7.300000000000001,7.6000000000000005,7.0,6.7,6.2,7.1000000000000005
127,7.300000000000001,7.6000000000000005,7.1000000000000005,6.7,6.2,7.1000000000000005
128,7.300000000000001,7.6000000000000005,7.2,6.7,6.2,7.1000000000000005
129,7.300000000000001,7.6000000000000005,7.2,6.7,6.2,7.1000000000000005
130,7.300000000000001,7.6000000000000005,7.2,6.7,6.2,7.1000000000000005
131,7.300000000000001,7.6000000000000005,7.2,6.7,6.2,7.1000000000000005
132,7.300000000000001,7.6000000000000005,7.2,6.7,6.2,7.1000000000000005
133,7.300000000000001,7.7,7.2,6.7,6.2,7.1000000000000005
134,7.300000000000001,7.7,7.2,6.7,6.2,7.1000000000000005
135,7.300000000000001,7.7,7.2,6.7,6.2,7.1000000000000005
136,7.300000000000001,7.7,7.2,6.7,6.2,7.1000000000000005
137,7.300000000000001,7.7,7.2,6.7,6.2,7.1000000000000005
138,7.300000000000001,7.7,7.2,6.7,6.2,7.1000000000000005
139,7.300000000000001,7.7,7.2,6.7,6.2,7.1000000000000005
140,7.300000000000001,7.7,7.2,6.7,6.2,7.1000000000000005
141,7.300000000000001,7.7,7.2,6.7,6.2,7.1000000000000005
142,7.300000000000001,7.7,7.2,6.7,6.2,7.1000000000000005
143,7.300000000000001,7.7,7.2,6.7,6.2,7.1000000000000005
144,7.300000000000001,7.7,7.2,6.7,6.2,7.1000000000000005
145,7.300000000000001,7.7,7.2,6.7,6.2,7.1000000000000005
146,7.300000000000001,7.7,7.2,6.7,6.2,7.1000000000000005
147,7.300000000000001,7.7,7.2,6.7,6.2,7.1000000000000005
148,7.300000000000001,7.7,7.2,6.7,6.2,7.1000000000000005
149,7.300000000000001,7.7,7.2,6.7,6.2,7.1000000000000005
150,7.300000000000001,7.7,7.2,6.7,6.2,7.1000000000000005
151,7.300000000000001,7.7,7.2,6.7,6.2,7.2
152,7.300000000000001,7.7,7.2,6.7,6.2,7.2
153,7.300000000000001,7.7,7.2,6.7,6.2,7.2
